Anchorage, AK,128.4,Yes,134.5,142.9,94.1,122,135.7,124.8
Fairbanks, AK,137.4,Yes,127.9,148.5,193.1,118.7,144.9,118.8
Juneau, AK,136.5,Yes,133.1,165.7,135.1,121.2,144.4,116.1
Kodiak, AK,128.7,Yes,149.4,127.8,131.9,143.4,130.7,115.4
Auburn-Opelika, AL,98.9,Yes,104.6,90.2,101.3,92.9,88.4,106.5
Birmingham, AL,90.8,Yes,93.5,73.2,105.7,93.5,87.9,100.3
Decatur-Hartselle, AL,89.2,Yes,98.5,74.2,90.6,96.7,85.5,96.6
Dothan, AL,89.8,Yes,100.3,80.1,79.7,91.8,81.7,97.9
Florence, AL,90.2,Yes,96.6,79.6,91,94.5,84.1,96.3
Huntsville, AL,91.2,Yes,94.9,78.7,86.1,99.7,92,99.8
Mobile, AL,92.7,Yes,102.7,80.4,104.4,93,86.5,96.7
Montgomery, AL,99.2,Yes,102.9,96,108.4,99.6,88,99.1
Tuscaloosa, AL,94.6,Yes,104.9,80.6,105.9,102.8,90.2,97.4
Conway, AR,86.6,Yes,97.9,78.8,92,96.6,89.8,84
Fayetteville, AR,92.1,Yes,95.3,77.3,99.8,95.2,92.7,100.6
Fort Smith, AR,86.1,Yes,92.5,74.5,90.5,87.9,87.5,91.7
Hot Springs, AR,93.8,Yes,97.3,85.3,95.7,85.6,84.8,102.9
Jonesboro, AR,88.9,Yes,97.5,75.1,91.1,88.8,85.9,97.3
Little Rock, AR,96.5,Yes,92.9,92.2,104.1,94,93.5,100.4
Flagstaff, AZ,114.9,Yes,106.6,149.3,92.5,105.5,100,99.5
Lake Havasu City, AZ,111.8,Yes,107,139.3,95.9,93.5,98,101.7
Phoenix, AZ,100.7,Yes,108.1,90.4,96.6,108.9,108.8,104.6
Prescott Valley, AZ,103.7,Yes,95.2,118.1,91.8,100.3,97.8,99.7
Sierra Vista, AZ,97.9,Yes,96.5,99.7,97.2,104,96.1,95.5
Tucson, AZ,96.5,Yes,97.2,91.9,86.7,104.6,99.2,100.5
Yuma, AZ,101.2,Yes,107.4,96.4,112.2,104.6,107.8,97.6
Bakersfield, CA,103.4,Yes,107.6,98.4,104.3,111.3,107.2,103.1
Fresno, CA,117.3,Yes,115.8,131.2,123.6,114.5,106.8,105.9
Los Angeles-Long Beach, CA,136.4,Yes,106,207.1,101.7,113.6,109.1,107
Oakland, CA,139.1,Yes,116.8,198.8,94.7,113.6,119.9,119
Orange County, CA,146.4,Yes,104.5,242.8,103.2,114.6,111.6,105.2
Palm Springs, CA,121.8,Yes,111.5,154.2,112.7,110.2,100.8,106.1
Riverside, CA,112.5,Yes,104.9,136.3,99.9,113.4,104.4,99.1
Sacramento, CA,116.2,Yes,114.7,135.7,109.6,114.4,110.8,102.8
San Diego, CA,132.3,Yes,105.5,194.4,101.9,113.1,111.5,105.8
San Francisco, CA,164,Yes,111.9,281,94.5,113,117,124.3
San Jose, CA,156.1,Yes,115.3,260.3,137.2,114,119,103.6
Truckee-Nevada County, CA,146.9,Yes,132.2,208.3,114.3,121.5,112,120.5
Burlington-Chittenden, Co,120.5,Yes,112.9,138.7,122.2,102.5,104.6,114.2
Colorado Springs, CO,92.8,Yes,95.4,92,86.8,96.2,102.3,92.1
Denver, CO,103.2,Yes,101,107.5,101.9,95.4,105.9,102.7
Glenwood Springs, CO,124,Yes,103.3,169,89,110.9,112,108.7
Grand Junction, CO,98.3,Yes,101.9,105.4,86.4,99.1,103.8,93.1
Gunnison, CO,110,Yes,110.6,134.5,85.7,99,97.3,100.6
Loveland, CO,91,Yes,102.7,79.3,89.6,91.4,100.3,95.7
Pueblo, CO,85.6,Yes,100.5,71.5,80.1,93.8,94.1,90.1
Hartford, CT,121.8,Yes,120.7,137.8,120.7,109,113,113.5
New Haven, CT,122.1,Yes,117.9,134.9,123.5,106.3,112.7,117.9
Stamford, CT,146.9,Yes,121.8,212.6,121.3,110,113.3,122.1
Washington, DC,140.1,Yes,107.9,226.4,97.3,109.3,103.4,103.7
Dover, DE,99.7,Yes,110.4,90.9,108.8,97.5,103,100.7
Wilmington, DE,105.2,Yes,108.1,102,115.4,98.6,108.7,105.2
Bradenton, FL,95.8,No,106.6,90.2,90.4,101.3,98.8,96.1
Cape Coral-Fort Myers, FL,95.6,No,107.9,87.5,83.7,103,98.7,98.9
Fort Lauderdale, FL,115.7,No,112.5,144,92.5,106.3,102.4,103.7
Gainesville, FL,99.8,No,106.3,101.8,99.2,103.3,92.7,95.5
Jacksonville, FL,92.9,No,102.8,80,91.9,103.6,94.5,97.3
Miami, FL,106,No,110.9,107.7,91.9,108.8,105.7,106.2
Orlando, FL,97.8,No,97.8,85.4,108.5,101.8,95.5,104.5
Panama City, FL,99.4,No,93.7,101.5,99.7,108.8,94.5,97.6
Sarasota, FL,101.5,No,107.7,102.9,97.4,102.5,105.2,98.1
Tampa, FL,92.4,No,96.3,84.7,93.8,103.3,98.4,93.4
Vero, FL,97.4,No,109.1,83.5,104.5,97.8,97.7,102.5
Albany, GA,90.1,Yes,108.7,74.8,82,96.6,89.8,96.8
Americus, GA,88.3,Yes,105.5,71,88.2,99.8,103.7,91.3
Atlanta, GA,95.6,Yes,96.2,90.7,86.3,99.3,103.3,100.3
Augusta, GA,93.2,Yes,106,79.4,92.1,93.9,101.4,99.4
Douglas, GA,88.6,Yes,104.1,68.5,97.9,89.3,91.3,96.6
Marietta, GA,94.8,Yes,96.8,84.7,90.3,97.1,107.9,101.9
Savannah, GA,93.5,Yes,94.7,84,94,98.4,99,99.1
Valdosta, GA,94.1,Yes,111.8,85.3,89,96.7,102.2,94.5
Bowling, Green,90.7,Yes,93.3,78.2,104.3,96.7,95.8,94
Honolulu, HI,165.7,Yes,160.1,249,146.6,126.2,120,117.9
Ames, IA,96.8,Yes,93.7,104.8,82.3,101.8,98.4,93.7
Burlington, IA,97,Yes,93.8,94.6,108.6,98.6,89.9,97.1
Cedar Falls, IA,91.7,Yes,89.5,89.6,88.2,99.4,95.9,92.8
Cedar Rapids, IA,92,Yes,94.8,79.1,101.6,97.1,94.4,97.5
Davenport, IA,96.8,Yes,98.7,98.7,81.4,104.3,97.9,96.8
Des Moines, IA,90.9,Yes,90.9,89.6,90.2,95.9,90.8,90.9
Dubuque, IA,95.9,Yes,98.1,86.5,105.2,99.5,96.5,99.5
Iowa City, IA,96.2,Yes,94.9,97.3,80.1,102.8,95.4,99
Mason City, IA,89.1,Yes,89.4,73.1,105.6,99.5,94.8,94.2
Boise, ID,97.2,Yes,98.5,84,99.6,108,106.6,103.3
Idaho Falls, ID,90.6,Yes,99.5,78,84.9,102.1,93.2,96.3
Twin Falls, ID,91.5,Yes,95.5,81.4,97,99.2,93.3,94.6
Champaign-Urbana, IL,96.9,Yes,98.5,90.8,97.1,98.2,100.5,100.7
Chicago, IL,116.9,Yes,111.2,134.8,117.3,116.5,108.5,104.4
Danville, IL,91.1,Yes,94.6,74.2,116.4,109.3,95.8,90.7
Decatur, IL,91.4,Yes,89.1,88.2,92.2,96.7,91.9,93.3
Galesburg, IL,93,Yes,99.7,80,103.1,96.1,97.3,97.2
Joliet-Will County, IL,102.2,Yes,100.9,102.3,116.1,111.3,106.5,95.2
Peoria, IL,96.3,Yes,93.4,95,97.2,101.4,95.8,96.8
Quincy, IL,95.5,Yes,97.4,94.5,95.5,94.2,99.8,95.5
Rockford, IL,92.4,Yes,92.6,74.7,111.2,105.8,103.3,96.8
Springfield, IL,85.8,Yes,89.7,70.1,79.8,104.5,106.5,91.7
Elkhart-Goshen, IN,94,Yes,91.4,92.7,84.5,99.7,92.8,97.5
Evansville, IN,96.2,Yes,97.9,86.3,120,97.1,97.4,96.4
Fort Wayne, IN,94.4,Yes,93.3,89.3,87.3,106.9,93.4,98
Indianapolis, IN,87.2,Yes,91.4,73.4,86.7,100.5,93.6,93.1
Lafayette, IN,98.2,Yes,95.6,82.4,116.5,106.2,116.3,102.7
Muncie, IN,91,Yes,91,80.3,98.5,94.5,87.4,97.6
Richmond, IN,90.8,Yes,83.3,84.6,106.4,98.4,95.1,91.7
South Bend, IN,91.9,Yes,91.3,84.2,92.3,95.4,96.3,97.3
Dodge City, KS,89.3,Yes,90,77.6,85.5,95.6,89.9,98.5
Garden City, KS,89.7,Yes,91.2,79.9,86.5,94,89.6,97.5
Hays, KS,89.4,Yes,92,78.8,92.4,97.5,90.7,94.2
Hutchinson, KS,94,Yes,89,92.3,84.4,96.5,94.2,99.6
Lawrence, KS,94.6,Yes,89.1,96,91.9,96.2,97.5,95.6
Manhattan, KS,95,Yes,92.5,98.7,86.9,99,91.6,94.4
Salina, KS,86.9,Yes,86.9,76,87,94.7,94.9,93.1
Topeka, KS,91.8,Yes,92.9,84,85.8,97.4,93.2,98.1
Wichita, KS,91.8,Yes,90.5,83.6,89.7,100.6,96.7,97.1
Covington, KY,87.8,Yes,86,76.8,100.2,99.9,90.6,90.3
Lexington, KY,92.8,Yes,86.9,88.7,93.9,97.6,93.7,97.1
Louisville, KY,87.7,Yes,81.6,78.7,99.1,96.9,87.2,91.9
Paducah, KY,87.3,Yes,94.8,75.8,96.5,86.6,90.3,91.3
Alexandria, LA,95.1,Yes,96,92.7,89.9,97.2,92.9,98.2
Baton Rouge, LA,96.1,Yes,100.4,102.2,78.2,90.4,97.7,95.8
Hammond, LA,95.9,Yes,99,95.8,84.8,93,97.4,98.9
Lafayette, LA,99.2,Yes,93.5,110.1,81.2,104,88.8,97.3
Lake Charles, LA,97.4,Yes,99.8,103.4,89.5,97.1,84.4,95.4
Monroe, LA,92.7,Yes,95.8,83,89.1,97.5,96,99.3
Shreveport, LA,95.3,Yes,95.2,93.5,89.4,93.4,93.1,99.6
Slidell, LA,97,Yes,95.1,101,82.2,96.2,93.4,99.4
Boston, MA,132.5,Yes,116.7,152.7,138.6,104.5,123.5,128.6
Fitchburg-Leominster, MA,103.3,Yes,99.3,97.1,140.6,99.9,112.3,98.6
Framingham-Natick, MA,134.5,Yes,109.4,177.2,131.9,105,116.1,118.8
Pittsfield, MA,110.6,Yes,115,96.2,161.9,98.9,105,110
Baltimore, MD,119.4,Yes,110.8,155.4,112.5,105.3,97.9,100
Bethesda-Gaithersburg-Frederick, MD,130.5,Yes,108.5,184.2,120.6,110.1,104,104.4
Portland, ME,116.5,Yes,101.8,143,102.9,111.8,109.7,105.5
Detroit, MI,99.4,Yes,92.7,95.2,129.5,101.3,94.2,96.6
Grand Rapids, MI,90.7,Yes,102.7,77.6,100.6,103.7,94.4,90
Kalamazoo, MI,91.2,Yes,95.6,81.3,101.8,99.4,92.5,92.4
Mankato, MN,93,Yes,93.8,76.5,113.5,103.1,104.3,96.4
Minneapolis, MN,111,Yes,111.6,116.8,104.7,103.7,105.4,110.4
Rochester, MN,99.2,Yes,89.6,91.1,104.8,106.3,109.5,105
St Cloud, MN,98.3,Yes,101.7,80.7,117.2,99.9,102,105.8
St Paul, MN,110,Yes,107,112.9,106.8,103.4,106.7,112.2
Columbia, MO,91.8,Yes,92.6,81.4,90.4,96.3,96.4,99.1
Jefferson City, MO,92.9,Yes,93.9,78.5,97.6,93.3,95,103.4
Joplin, MO,88.8,Yes,92.2,75.9,108.1,91.8,89.5,92
Kansas City, MO,97.8,Yes,94.8,89.2,99.8,100.8,97.2,105.1
Springfield, MO,88,Yes,93.2,76.8,83.2,96.8,95.3,93.8
St Joseph, MO,92.3,Yes,95.4,86.5,93.7,90.1,94.9,96
St Louis, MO-IL,90.4,Yes,98.4,74.6,92.9,99,100.8,96.5
Hattiesburg, MS,91.9,Yes,100.5,74.6,110.3,96.9,95.4,96.2
Jackson, MS,96.9,Yes,93,94,118.1,92,95.7,96.1
Pascagoula, MS,92.3,Yes,101,84.3,91.4,97.4,91.6,94.6
Tupelo, MS,88.1,Yes,91.1,72.3,110.1,93.8,86.6,92.7
Bozeman, MT,102,Yes,107.3,101.8,89.1,101.6,102.4,104
Kalispell, MT,98.8,Yes,116.3,95.5,82,103.6,104.8,97.8
Missoula, MT,99.4,Yes,110.2,92.2,98.3,102.2,107.2,100.1
Asheville, NC,101.1,Yes,104.6,97.8,113.1,94.2,104.7,100.6
Burlington, NC,94.6,Yes,98.6,86,82.3,97.5,102.5,102.5
Chapel Hill, NC,113,Yes,100.9,127,85.7,122.8,105.8,112.1
Charlotte, NC,93.2,Yes,97.1,79.5,91.2,95.7,110.3,101.4
Dare County, NC,107.3,Yes,111.7,116.7,92.9,110.2,111.7,100.4
Durham, NC,96.6,Yes,97.9,86.8,96.3,105.5,108.5,100.6
Fayetteville, NC,95.2,Yes,105.1,82.5,92.8,96,117.9,100.1
Greenville, NC,98.5,Yes,105.9,84.4,108.5,97.6,113.5,103.3
Hickory, NC,92.9,Yes,101.1,91.3,92.3,86.5,93.8,93
Jacksonville, NC,96.5,Yes,103.2,88,99.2,97.8,101.2,99.6
Kinston, NC,93.8,Yes,102.5,76.1,108.8,96.7,102.9,99.3
Marion-McDowell County, NC,92.1,Yes,103.1,87.9,94,89.5,96.3,90.9
Raleigh, NC,98.2,Yes,104.2,88.8,105.6,96.7,101,101.9
Thomasville-Lexington, NC,89.2,Yes,105.5,77.2,80.7,88.8,109.1,93.5
Wilmington, NC,98.8,Yes,108,89.7,108.5,97.6,100.1,100.3
Winston-Salem, NC,92.4,Yes,98.5,82.9,88.5,83.3,99.3,101.5
Bismarck-Mandan, ND,95.3,Yes,105.9,91.5,70.1,102.6,100.5,99.4
Fargo, ND,92.7,Yes,99.8,87.4,78.7,95.8,102.4,96.6
Minot, ND,99.9,Yes,99.3,95.9,73.5,98.2,91,113.6
Hastings, NE,93.4,Yes,103.7,89.1,94,87.6,85.8,95.6
Omaha, NE,88.3,Yes,92,79.3,89.9,100,96.8,89.7
Manchester, NH,116.8,Yes,102.3,117,124.5,100.1,116.1,125
