ID,STATE,DESTINATION,Lodging Rate,M&IE
1,AL,Birmingham,$101,$59
2,AL,Gulf Shores,$106,$64
2,AL,Gulf Shores,$125,$64
2,AL,Gulf Shores,$160,$64
2,AL,Gulf Shores,$106,$64
460,AL,Mobile,$93,$59
460,AL,Mobile,$98,$59
460,AL,Mobile,$93,$59
6,AR,Hot Springs,$104,$59
7,AR,Little Rock,$96,$59
9,AZ,Grand Canyon / Flagstaff,$142,$64
9,AZ,Grand Canyon / Flagstaff,$93,$64
9,AZ,Grand Canyon / Flagstaff,$110,$64
9,AZ,Grand Canyon / Flagstaff,$142,$64
8,AZ,Kayenta,$126,$59
8,AZ,Kayenta,$104,$59
8,AZ,Kayenta,$126,$59
10,AZ,Phoenix / Scottsdale,$124,$59
10,AZ,Phoenix / Scottsdale,$174,$59
10,AZ,Phoenix / Scottsdale,$133,$59
10,AZ,Phoenix / Scottsdale,$93,$59
10,AZ,Phoenix / Scottsdale,$124,$59
11,AZ,Sedona,$162,$74
12,AZ,Tucson,$93,$59
12,AZ,Tucson,$118,$59
12,AZ,Tucson,$93,$59
14,CA,Antioch / Brentwood / Concord,$154,$64
481,CA,Bakersfield / Ridgecrest,$100,$59
16,CA,Barstow / Ontario / Victorville,$95,$54
20,CA,Death Valley,$112,$64
461,CA,Eureka / Arcata / McKinleyville,$101,$74
461,CA,Eureka / Arcata / McKinleyville,$129,$74
461,CA,Eureka / Arcata / McKinleyville,$101,$74
21,CA,Fresno,$103,$64
22,CA,Los Angeles,$173,$64
23,CA,Mammoth Lakes,$131,$74
24,CA,Mill Valley / San Rafael / Novato,$184,$74
24,CA,Mill Valley / San Rafael / Novato,$151,$74
24,CA,Mill Valley / San Rafael / Novato,$184,$74
26,CA,Monterey,$142,$74
26,CA,Monterey,$198,$74
26,CA,Monterey,$142,$74
27,CA,Napa,$215,$69
27,CA,Napa,$165,$69
27,CA,Napa,$215,$69
28,CA,Oakhurst,$98,$64
28,CA,Oakhurst,$127,$64
28,CA,Oakhurst,$98,$64
29,CA,Oakland,$171,$69
29,CA,Oakland,$152,$69
29,CA,Oakland,$171,$69
30,CA,Palm Springs,$133,$64
30,CA,Palm Springs,$104,$64
31,CA,Point Arena / Gualala,$116,$69
33,CA,Sacramento,$128,$64
34,CA,San Diego,$153,$64
34,CA,San Diego,$167,$64
34,CA,San Diego,$153,$64
35,CA,San Francisco,$302,$74
35,CA,San Francisco,$222,$74
35,CA,San Francisco,$276,$74
35,CA,San Francisco,$302,$74
36,CA,San Luis Obispo,$123,$64
37,CA,San Mateo / Foster City / Belmont,$213,$69
37,CA,San Mateo / Foster City / Belmont,$180,$69
37,CA,San Mateo / Foster City / Belmont,$213,$69
38,CA,Santa Barbara,$167,$74
38,CA,Santa Barbara,$222,$74
38,CA,Santa Barbara,$167,$74
39,CA,Santa Cruz,$122,$59
39,CA,Santa Cruz,$152,$59
39,CA,Santa Cruz,$122,$59
40,CA,Santa Monica ,$253,$64
40,CA,Santa Monica ,$307,$64
40,CA,Santa Monica ,$253,$64
41,CA,Santa Rosa,$162,$64
41,CA,Santa Rosa,$134,$64
41,CA,Santa Rosa,$162,$64
42,CA,South Lake Tahoe,$112,$64
42,CA,South Lake Tahoe,$125,$64
42,CA,South Lake Tahoe,$154,$64
42,CA,South Lake Tahoe,$112,$64
43,CA,Stockton ,$107,$64
44,CA,Sunnyvale / Palo Alto / San Jose,$218,$64
44,CA,Sunnyvale / Palo Alto / San Jose,$228,$64
44,CA,Sunnyvale / Palo Alto / San Jose,$218,$64
