Anchorage,AK,No,101.9,109.58,88.67,130.22
Birmingham,AL,Yes,75.32,78.05,74.72,130.74
Huntsville,AL,Yes,66.34,70.03,63.59,132.14
Mobile,AL,Yes,69.53,74.84,66.25,123.62
Fayetteville,AR,Yes,79.07,88.7,67.54,80.29
Little Rock,AR,Yes,78.2,90.26,66.91,111.23
Phoenix,AZ,Yes,71.45,67.59,77.01,122.68
Tucson,AZ,Yes,65.37,66.41,65.65,133.7
Bakersfield,CA,Yes,72.08,75.73,68.96,110.66
Berkeley,CA,Yes,93.86,109.86,81.71,87.37
Fremont,CA,Yes,72.33,64.86,76.33,139.47
Fresno,CA,Yes,77.15,78.07,77.2,131.93
Irvine,CA,Yes,82.79,88.68,79,126.76
Los Angeles,CA,Yes,82.11,82.06,84.13,118.09
Oakland,CA,Yes,90.73,97.63,84.79,91.15
Sacramento,CA,Yes,82.76,87.64,75.56,121.89
San Diego,CA,Yes,79.89,83.15,78.95,129.95
San Francisco,CA,Yes,101.94,116.73,93.57,104.4
San Jose,CA,Yes,85.13,90.68,84.04,140.74
Santa Barbara,CA,Yes,81.14,80.42,86.66,176.22
Santa Rosa,CA,Yes,91.92,97.22,78.7,116.21
Boulder,CO,Yes,85.34,90.71,79.07,130.31
Denver,CO,Yes,81.71,84.5,79.32,129.35
Fort Collins,CO,Yes,82.53,95.23,71.33,63.35
Hartford,CT,Yes,83.7,86.3,86.72,101.18
New Haven,CT,Yes,94.1,112.78,91.54,114.53
Washington,DC,Yes,95.96,96.97,90.78,107.86
Fort Lauderdale,FL,No,77.71,79.97,78.35,102.52
Fort Myers,FL,No,72.08,79.19,64.03,71.17
Gainesville,FL,No,70.31,74.31,62.58,89.78
Jacksonville,FL,No,79.48,86.89,72.29,95.46
Melbourne,FL,No,87.34,104.43,81.84,136.52
Miami,FL,No,90.68,93.95,98.47,89.18
Orlando,FL,No,81.87,89.93,77.83,117.11
Pensacola,FL,No,70.9,75.85,64.15,116.64
Saint Petersburg,FL,No,78.32,82.17,79.2,133.67
Tallahassee,FL,No,74.38,86.14,59.97,89.04
Tampa,FL,No,78.92,85.17,80.01,102.73
West Palm Beach,FL,No,79.61,85.54,78.17,108.9
Athens,GA,Yes,63.81,61.12,69.13,115.33
Atlanta,GA,Yes,80.68,86.13,77.17,136.03
Augusta,GA,Yes,75.83,83.71,65.58,100.72
Honolulu,HI,Yes,103.32,121.83,88.49,84.93
Des Moines,IA,Yes,77.79,92.55,65.1,84.89
